ADDRESS,NEAREST_STN
"1 Richards Crescent, Craigie",Edgewater Station
"1 Rigoll Court, Mundijong",Armadale Station
"1 Ringarooma Way, Willetton",Bull Creek Station
"1 Ringmer Way, Westminster",Stirling Station
"1 River Bank Boulevard, South Guildford",East Guildford Station
"1 River Bed Pass, Wilson",Welshpool Station
"1 Riverdale Road, Helena Valley",Midland Station
"1 Robert Street, Dalkeith",Loch Street Station
"1 Robyn Street, Morley",Maylands Station
"1 ROKER Way, Brabham",Guildford Station
"1 Romani Court, Lockridge",Bassendean Station
"1 Rosalind Court, Rossmoyne",Bull Creek Station
"1 Rose Bay Court, Kallaroo",Edgewater Station
"1 ROSTRATUS Link, Dayton",East Guildford Station
"1 Rothsay Crescent, Menora",Mount Lawley Station
"1 Rowe Place, Noranda",Mount Lawley Station
"1 Royal Melbourne Avenue, Connolly",Joondalup Station
"1 Royce Grove, Booragoon",Bull Creek Station
"1 Ruby Avenue, Langford",Canning
"1 Ruby Court, Mount Richon",Armadale Station
"1 Rudge Place, Lockridge",Success Hill Station
"1 Sabro Lane, Caversham",Guildford Station
"1 Salamanca Parkway, Port Kennedy",Warnbro Station
"1 Salisbury Road, Beechboro",Ashfield Station
"1 Salmond Way, Bull Creek",Bull Creek Station
"1 Salvin Road, Gwelup",Stirling Station
"1 Samos Place, Mindarie",Clarkson Station
"1 Sandalford Drive, Beldon",Edgewater Station
"1 Sandridge Street, Banksia Grove",Clarkson Station
"1 Sandringham Street, Trigg",Stirling Station
"1 Sapium Way, Woodvale",Whitfords Station
"1 Scarcliffe Way, Carine",Warwick Station
"1 Scott Street, Kewdale",Queens Park Station
"1 Seabreeze Avenue, Burns Beach",Currambine Station
"1 Seaflight Court, Heathridge",Joondalup Station
"1 Searle Road, Ardross",Bull Creek Station
"1 Sedge Link, Atwell",Cockburn Central Station
"1 Sellenger Avenue, Samson",Murdoch Station
"1 Seton Lane, Kinross",Currambine Station
"1 Shackleton Street, Bassendean",Bassendean Station
"1 Sheppard Way, Marmion",Warwick Station
"1 Shiralee Bend, Carramar",Currambine Station
"1 Shoal Court, Coogee",Cockburn Central Station
"1 Short Street, North Beach",Warwick Station
"1 Silica Road, Wattle Grove",Madding
"1 Silky Lane, Wandi",Kwinana Station
"1 Simon Place, City Beach",Grant Street Station
"1 Sistina Road, Ashby",Joondalup Station
"1 Skottowe Parkway, Parmelia",Wellard Station
"1 Skye Lane, Ellenbrook",East Guildford Station
"1 Smailes Elbow, Brookdale",Armadale Station
"1 Smitherson Street, Noranda",Maylands Station
"1 Smullin Street, Hamilton Hill",Fremantle Station
"1 SNOWY RISE, Hammond Park",Cockburn Central Station
"1 Solly Court, Bull Creek",Bull Creek Station
"1 Spargo Street, Myaree",Bull Creek Station
"1 Spring Hill, Tapping",Currambine Station
"1 Spruce Place, Thornlie",Thornlie Station
"1 Spruce Terrace, Aubin Grove",Cockburn Central Station
"1 St Fillans Bend, Wanneroo",Edgewater Station
"1 St Ives Loop, Kallaroo",Whitfords Station
"1 Stephen Street, Queens Park",Canning
"1 Stitfold Promenade, Salter Point",Canning Bridge Station
"1 Stokesay Street, Orelia",Kwinana Station
"1 Strathmore Parkway, Ellenbrook",East Guildford Station
"1 Strathpine Chase, Landsdale",Greenwood Station
"1 Strelley Lane, Carramar",Currambine Station
"1 Stretton Way, Kenwick",Kenwick Station
"1 Strickland Court, Coogee",Cockburn Central Station
"1 Styne Road, City Beach",Grant Street Station
"1 Success Crescent, Salter Point",Canning Bridge Station
"1 Sumich Gardens, Coogee",Fremantle Station
"1 Swallow Grove, Waikiki",Warnbro Station
"1 Sweeney Way, Padbury",Whitfords Station
"1 Talisker Mews, Ballajura",Bayswater Station
"1 Tall Karri Close, Camillo",Kelmscott Station
"1 Tattler Place, Huntingdale",Seaforth Station
"1 Taylor Street, White Gum Valley",Fremantle Station
"1 Teetree Court, Beechboro",Ashfield Station
"1 Temple Mews, Iluka",Currambine Station
"1 Tenella Mews, Warnbro",Warnbro Station
"1 Tennyson Street, Bellevue",Midland Station
"1 Tetbury Road, Butler",Butler Station
"1 The Mead, Kiara",Ashfield Station
"1 The Mews, Kardinya",Murdoch Station
"1 Thomas Hamilton Avenue, Mirrabooka",Mount Lawley Station
"1 Thorman Place, Booragoon",Bull Creek Station
"1 Thornbill Loop, Beeliar",Cockburn Central Station
"1 Thurlow Avenue, Yokine",Glendalough Station
"1 Till Street, Herne Hill",Midland Station
"1 Tintern Road, Ashby",Joondalup Station
"1 Tippett Court, Willetton",Murdoch Station
"1 Tiwi Court, Iluka",Currambine Station
"1 Tolbury Retreat, Kiara",Bassendean Station
"1 Torre Link, Darch",Greenwood Station
"1 Torridon Loop, Wanneroo",Edgewater Station
"1 Treaty Oak Cove, Bibra Lake",Murdoch Station
"1 Treave Street, Cloverdale",Queens Park Station
"1 Triller Road, Bennett Springs",Ashfield Station
"1 Trilogy Court, The Vines",Woodbridge Station
"1 Trona Place, Forrestfield",Madding
"1 Tropicana Way, Safety Bay",Rockingham Station
"1 Troy Avenue, Marmion",Warwick Station
"1 Tucker Street, Medina",Kwinana Station
"1 Tuckeroo Parade, Helena Valley",Midland Station
"1 Tullow Road, Floreat",Claremont Station
"1 Turner Parkway, Carramar",Currambine Station
"1 Turner Street, Warnbro",Warnbro Station
"1 TWIN VIEW, Swan View",Midland Station
"1 Umina Street, High Wycombe",Midland Station
"1 Valencia Avenue, Churchlands",Glendalough Station
"1 Vantage Way, Burswood",Burswood Station
"1 Veldt Mews, Mirrabooka",Warwick Station
"1 Venetian Way, Baldivis",Wellard Station
"1 Verve Court, Marmion",Warwick Station
"1 Vilamour Close, Currambine",Currambine Station
"1 Viola Place, Beechboro",Ashfield Station
"1 Violet Street, Middle Swan",Midland Station
"1 Virgilia Terrace, South Lake",Cockburn Central Station
"1 Voyager Link, Pearsall",Whitfords Station
"1 Wake Court, Redcliffe",Ashfield Station
"1 Wallace Street, Mundijong",Armadale Station
"1 Wambiri Close, South Lake",Cockburn Central Station
"1 Warlu Place, High Wycombe",Midland Station
"1 Warnt Court, South Guildford",East Guildford Station
"1 Waterway Crescent, Ascot",Bayswater Station
"1 Wattle Court, Mahogany Creek",Midland Station
"1 Waugh Court, North Lake",Murdoch Station
"1 Wayford Circle, Hocking",Edgewater Station
"1 Webb Street, Rossmoyne",Bull Creek Station
"1 Weema Court, Swan View",Midland Station
"1 Weetman Cove, Cannington",Queens Park Station
"1 Wendo Court, Hillman",Rockingham Station
"1 Wenstead Place, Stratton",Midland Station
"1 Werri Place, Clarkson",Clarkson Station
"1 Wescap Rise, Merriwa",Clarkson Station
"1 Whelk Place, Mullaloo",Edgewater Station
"1 White Place, Subiaco",West Leederville Station
"1 White Street, North Fremantle",North Fremantle Station
"1 Whitehouse Drive, Koondoola",Warwick Station
"1 Wildwood Mews, Carramar",Clarkson Station
"1 Willard Circuit, Banksia Grove",Clarkson Station
"1 Williams Court, Melville",Bull Creek Station
"1 Williamson Way, Trigg",Warwick Station
"1 Willow Way, Gooseberry Hill",Midland Station
"1 Wilson Lane, Bateman",Bull Creek Station
"1 Wimbledon Drive, Kingsley",Greenwood Station
